City,County
Abrud,Alba
Adjud,Vrancea
Agnita,Sibiu
Aiud,Alba
Alba Iulia,Alba
Alesd,Bihor
Alexandria,Teleorman
Amara,Ialomita
Anina,Caras-Severin
Aninoasa,Hunedoara
Arad,Arad
Ardud,Satu Mare
Avrig,Sibiu
Azuga,Prahova
Babadag,Tulcea
Bacau,Bacau
Baia de Arama,Mehedinti
Baia de Aries,Alba
Baia Mare,Maramures
Baia Sprie,Maramures
Bals,Olt
Baraolt,Covasna
Babeni,Valcea
Baicoi,Prahova
Baile Govora,Valcea
Baile Herculane,Caras-Severin
Baile Olanesti,Valcea
Bailesti,Dolj
Baile Tusnad,Harghita
Balan,Harghita
Balcesti,Valcea
Baneasa,Constanta
Barlad,Vaslui
Bechet,Dolj
Beclean,Bistrita-Nasaud
Beius,Bihor
Berbesti,Valcea
Beresti,Galati
Bicaz,Neamt
Bistrita,Bistrita-Nasaud
Blaj,Alba
Bocsa,Caras-Severin
Boldesti-Scaeni,Prahova
Bolintin-Vale,Giurgiu
Borsec,Harghita
Borsa,Maramures
Botosani,Botosani
Brad,Hunedoara
Bragadiru,Ilfov
Brasov,Brasov
Braila,Braila
Breaza,Prahova
Brezoi,Valcea
Brosteni,Suceava
Bucecea,Botosani
Bucharest,Ilfov
Budesti,Calarasi
Buftea,Ilfov
Buhusi,Bacau
Bumbesti-Jiu,Gorj
Busteni,Prahova
Buzau,Buzau
Buzias,Timis
Cajvana,Suceava
Calafat,Dolj
Caracal,Olt
Caransebes,Caras-Severin
Carei,Satu Mare
Cavnic,Maramures
Calan,Hunedoara
Calarasi,Calarasi
Calimanesti,Valcea
Cazanesti,Ialomita
Campeni,Alba
Campia Turzii,Cluj
Campina,Prahova
Campulung,Arges
Campulung Moldovenesc,Suceava
Cehu Silvaniei,Salaj
Cernavoda,Constanta
Chisineu-Cris,Arad
Chitila,Ilfov
Ciacova,Timis
Cisnadie,Sibiu
Cluj-Napoca,Cluj
Codlea,Brasov
Comarnic,Prahova
Comanesti,Bacau
Constanta,Constanta
Copsa Mica,Sibiu
Corabia,Olt
Costesti,Arges
Covasna,Covasna
Craiova,Dolj
Cristuru Secuiesc,Harghita
Cugir,Alba
Curtea de Arges,Arges
Curtici,Arad
Darabani,Botosani
Dabuleni,Dolj
Darmanesti,Bacau
Dej,Cluj
Deta,Timis
Deva,Hunedoara
Dolhasca,Suceava
Dorohoi,Botosani
Dragomiresti,Maramures
Draganesti-Olt,Olt
Dragasani,Valcea
Drobeta-Turnu Severin,Mehedinti
Dumbraveni,Sibiu
Eforie,Constanta
Fagaras,Brasov
Faget,Timis
Falticeni,Suceava
Faurei,Braila
Fetesti,Ialomita
Fieni,Dambovita
Fierbinsi-Targ,Ialomita
FilIasi,Dolj
Flamanzi,Botosani
Focsani,Vrancea
Frasin,Suceava
Fundulea,Calarasi
Galati,Galati
Gaesti,Dambovita
Gataia,Timis
Geoagiu,Hunedoara
Gheorgheni,Harghita
Gherla,Cluj
Ghimbav,Brasov
Giurgiu,Giurgiu
Gura Humorului,Suceava
Hateg,Hunedoara
Harlau,Iasi
Harsova,Constanta
Horezu,Valcea
Huedin,Cluj
Hunedoara,Hunedoara
Husi,Vaslui
Ianca,Braila
Iasi,Iasi
Iernut,Mures
Ineu,Arad
Isaccea,Tulcea
Insuratei,Braila
Intorsura Buzaului,Covasna
Jibou,Salaj
Jimbolia,Timis
Lehliu Gara,Calarasi
Lipova,Arad
Liteni,Suceava
Livada,Satu Mare
Ludus,Mures
Lugoj,Timis
Lupeni,Hunedoara
Mangalia,Constanta
Marghita,Bihor
Macin,Tulcea
Magurele,Ilfov
Marasesti,Vrancea
Medgidia,Constanta
Medias,Sibiu
Miercurea Ciuc,Harghita
Miercurea Nirajului,Mures
Miercurea Sibiului,Sibiu
Mihailesti,Giurgiu
Milisauti,Suceava
Mioveni,Arges
Mizil,Prahova
Moinesti,Bacau
Moldova Noua,Caras-Severin
Moreni,Dambovita
Motru,Gorj
Murfatlar,Constanta
Murgeni,Vaslui
Nadlac,Arad
Nasaud,Bistrita-Nasaud
Navodari,Constanta
Negresti,Vaslui
Negresti-Oas,Satu Mare
Negru Voda,Constanta
Nehoiu,Buzau
Novaci,Gorj
Nucet,Bihor
Ocna Mures,Alba
Ocna Sibiului,Sibiu
Ocnele Mari,Valcea
Odobesti,Vrancea
Odorheiu Secuiesc,Harghita
Oltenita,Calarasi
Onesti,Bacau
Oradea,Bihor
Oravita,Caras-Severin
Orastie,Hunedoara
Orsova,Mehedinti
Otopeni,Ilfov
Otelu Rosu,Caras-Severin
Ovidiu,Constanta
Panciu,Vrancea
Pantelimon,Ilfov
Pa?cani,Iasi
Patarlagele,Buzau
Pancota,Arad
Pecica,Arad
Petrila,Hunedoara
Petrosani,Hunedoara
Piatra Neamt,Neamt
Piatra-Olt,Olt
Pitesti,Arges
Ploiesti,Prahova
Plopeni,Prahova
Podu Iloaiei,Iasi
Pogoanele,Buzau
Popesti-Leordeni,Ilfov
Potcoava,Olt
Predeal,Brasov
Pucioasa,Dambovita
Racari,Dambovita
Radauti,Suceava
Ramnicu Sarat,Buzau
Ramnicu Valcea,Valcea
Rasnov,Brasov
Recas,Timis
Reghin,Mures
Resita,Caras-Severin
Roman,Neamt
Rosiorii de Vede,Teleorman
Rovinari,Gorj
Roznov,Neamt
Rupea,Brasov
Salcea,Suceava
Salonta,Bihor
Satu Mare,Satu Mare
Sacele,Brasov
Sacueni,Bihor
Saliste,Sibiu
Salistea de Sus,Maramures
Sarmasu,Mures
Saveni,Botosani
Sangeorgiu de Padure,Mures
Sangeorz-Bai,Bistrita-Nasaud
Sannicolau Mare,Timis
Santana,Arad
Scornicesti,Olt
Sebes,Alba
Sebis,Arad
Segarcea,Dolj
Seini,Maramures
Sfantu Gheorghe,Covasna
Sibiu,Sibiu
Sighetu Marmatiei,Maramures
Sighisoara,Mures
Simeria,Hunedoara
Sinaia,Prahova
Siret,Suceava
Slatina,Olt
Slanic,Prahova
Slanic Moldova,Bacau
Slobozia,Ialomita
Solca,Suceava
Sovata,Mures
Strehaia,Mehedinti
Suceava,Suceava
Sulina,Tulcea
Simleu Silvaniei,Salaj
Somcuta Mare,Maramures
Stefanesti,Arges
Stefanesti,Botosani
Stei,Bihor
Talmaciu,Sibiu
Tasnad,Satu Mare
Tautii-Magheraus,Maramures
Targoviste,Dambovita
Targu Bujor,Galati
Targu Carbunesti,Gorj
Targu Frumos,Iasi
Targu Jiu,Gorj
Targu Lapus,Maramures
Targu Mures,Mures
Targu Neamt,Neamt
Targu Ocna,Bacau
Targu Secuiesc,Covasna
Tarnaveni,Mures
Techirghiol,Constanta
Tecuci,Galati
Teius,Alba
Timisoara,Timis
Tismana,Gorj
Titu,Dambovita
Toplita,Harghita
Topoloveni,Arges
Tulcea,Tulcea
Turda,Cluj
Turnu Magurele,Teleorman
Tandarei,Ialomita
Ticleni,Gorj
Ulmeni,Maramures
Ungheni,Mures
Uricani,Hunedoara
Urlati,Prahova
Urziceni,Ialomita
Valea lui Mihai,Bihor
Vaslui,Vaslui
Vascau,Bihor
Vatra Dornei,Suceava
Valenii de Munte,Prahova
Vanju Mare,Mehedinti
Vicovu de Sus,Suceava
Victoria,Brasov
Videle,Teleorman
Viseu de Sus,Maramures
Vlahita,Harghita
Voluntari,Ilfov
Vulcan,Hunedoara
Zalau,Salaj
Zarnesti,Brasov
Zimnicea,Teleorman
Zlatna,Alba
